| NAME OF THE CUSTOMERS | code | ROUTE_CODE | ROUTE | LINK_CODE | LINKS PER ROUTE |
|-----------------------|------|------------|-------|-----------|-----------------|
| ICON FIBER SOLUTION | 37 | R1 | EADC<>RUAI KPLC OFFICE | L1 | EADC<>EMBAKASI SS |
| ICON FIBER SOLUTION | 37 | R1 | EADC<>RUAI KPLC OFFICE | L2 | EMBAKASI SS<>DANDORA SS |
| ICON FIBER SOLUTION | 37 | R1 | EADC<>RUAI KPLC OFFICE | L3 | DANDORA SS<>NCC JUJA RD |
| ICON FIBER SOLUTION | 37 | R1 | EADC<>RUAI KPLC OFFICE | L4 | NCC JUJA RD<>KOMAROCK SS |
| ICON FIBER SOLUTION | 37 | R1 | EADC<>RUAI KPLC OFFICE | L5 | KOMAROCK SS<>RUAI KPLC OFFICE |
| ICON FIBER SOLUTION | 37 | R2 | EADC<>RUIRU SS | L1 | EADC<>NEW INDUSTRIAL |
| ICON FIBER SOLUTION | 37 | R2 | EADC<>RUIRU SS | L2 | NEW INDUSTRIAL<>NAIROBI SOUTH |
| ICON FIBER SOLUTION | 37 | R2 | EADC<>RUIRU SS | L3 | NAIROBI SOUTH<>RUARAKA 132 |
| ICON FIBER SOLUTION | 37 | R2 | EADC<>RUIRU SS | L4 | RUARAKA 132<>RUIRU SS |
| WANANCHI GROUP | 38 | R1 | NAIROBI<>MOMBASA | L1 | EMBAKASI<> DANDORA NCC |
| WANANCHI GROUP | 38 | R1 | NAIROBI<>MOMBASA | L2 | DANDORA<> NCC JUJA RD |
| WANANCHI GROUP | 38 | R1 | NAIROBI<>MOMBASA | L3 | NCC JUJA RD<>KIBOKO SS |
| WANANCHI GROUP | 38 | R1 | NAIROBI<>MOMBASA | L4 | KIBOKO SS<>VOI SS |
| WANANCHI GROUP | 38 | R1 | NAIROBI<>MOMBASA | L5 | VOI SS<>RABAI SS |
| WANANCHI GROUP | 38 | R1 | NAIROBI<>MOMBASA | L6 | RABAI SS<> KIPEVU HT SS |
| WANANCHI GROUP | 38 | R1 | NAIROBI<>MOMBASA | L7 | KIPEVU HT SS<> MAKANDE SS |
| WANANCHI TELECOM | 39 | R1 | NAIROBI<>LESSOS | L1 | EMBAKASI SS<>NAIVASHA SS |
| WANANCHI TELECOM | 39 | R1 | NAIROBI<>LESSOS | L2 | NAIVASHA SS<>LANET SS |
