lat,lng,name,capacity,fibreStatus,darkFibreCores,connectionType,owner,area,locaction,created_at,updated_at
-0.41758076,34.60091588,ADIEDO  SUB ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,WEST KENYA,ADIEDO MARKET,10/30/2025,10/30/2025
0.976273241,35.10115634,KAPLAMAI 33/11KV ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,NORTH RIFT,KIMOSON,10/30/2025,10/30/2025
-0.377533338,35.26566895,"KERICHO ( 33 / 11,33 KV)",33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,KERICHO,10/30/2025,10/30/2025
-0.411875306,35.28291047,"AHP ( 33 / 11,33 KV)",33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,JAMES FINLY FARM,10/30/2025,10/30/2025
-0.367500967,35.16825665,SOSIOT ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,SOSIOT TOWN CENTRE.,10/30/2025,10/30/2025
1.023685181,35.00914433,KITALE 33/11KV ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,NORTH RIFT,KITALE FACTORIES,10/30/2025,10/30/2025
-0.315067406,37.80384881,KAJUKI SWITCHING SUBSTATION (,33,Available,12,Patch Panel,KPLC,MT KENYA,KAMUTERIA\QUARRY,10/30/2025,10/30/2025
-0.627072797,36.52679341,MATUNDURA 33/11 SUBSTATION (,33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,MATUNDURA CENTRE,10/30/2025,10/30/2025
-0.872003391,36.57017819,MAGUMU 33/11 KV SUBSTATION (,33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,MAGUMU TOWNSHIP,10/30/2025,10/30/2025
0.267884406,34.75229381,KAKAMEGA ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,WEST KENYA,NEXT TO KAKAMEGA TOWN,10/30/2025,10/30/2025
-0.890918952,34.73034597,KENYENYA  SUB STATION ( 33 /,33,Available,12,Patch Panel,KPLC,WEST KENYA,KENYENYA,10/30/2025,10/30/2025
-3.867428611,39.66052452,RIBE 33/11KV SUBSTATION ( 33,33,Available,12,Patch Panel,KPLC,COAST,RIBE,10/30/2025,10/30/2025
-1.073802945,36.53432857,NGEMWA KPC ( 66 / 0.415 KV),66,Available,12,Patch Panel,KPLC,NAIROBI,MAIMAHIU,10/30/2025,10/30/2025
-1.23866734,36.73460302,LOWER KABETE 66/11KV  ( 66 /,66,Available,12,Patch Panel,KPLC,NAIROBI,LOWER KABETE NEXT TO UoN SCHOOL OF BUSINESS KABETE CAMPUS,10/30/2025,10/30/2025
-1.313717671,36.85092948,NEW INDUSTRIAL P/SUBSTATION (,66,Available,12,Patch Panel,KPLC,NAIROBI,INDUSTRIAL AREA,10/30/2025,10/30/2025
0.351544181,34.70810046,INGOTSE ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,WEST KENYA,INGOTSE,10/30/2025,10/30/2025
-1.329297416,36.8650057,FIRESTONE ( 66 / 0.415 KV),66,Available,12,Patch Panel,PRIVATE,NAIROBI,INDUSTRIAL AREA,10/30/2025,10/30/2025
0.727305485,35.8329436,KIPSARAMAN 33/11KV ( 33 / 11,33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,KIPSARAMAN (BARINGO NORTH),10/30/2025,10/30/2025
0.105198951,37.8169909,MIKINDURI 33/11KV  ( 33 / 11,33,Available,12,Patch Panel,KPLC,MT KENYA,MIKINDURI,10/30/2025,10/30/2025
-0.599750514,34.94618926,NYAMIRA  ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,WEST KENYA,KONATE,10/30/2025,10/30/2025
-1.287308539,36.8298719,JEEVANJEE ( 66 / 11 KV),66,Available,12,Patch Panel,KPLC,NAIROBI,CITY CENTRE,10/30/2025,10/30/2025
-1.339275195,36.9106337,KENYA PIPELINE ( 66 / 0.415 K,66,Available,12,Patch Panel,KPLC,NAIROBI,INDUSTRIAL  AREA,10/30/2025,10/30/2025
-1.23757021,36.81521329,GIGIRI SUBSTATION ( 66 / 11 K,66,Available,12,Patch Panel,KPLC,NAIROBI,GIGIRI,10/30/2025,10/30/2025
-0.325410134,36.49812869,WANJOHI ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,WANJOHI JUNCTION,10/30/2025,10/30/2025
-1.280876362,36.81594256,UNIVERSITY WAY ( 11 / 11 KV),11,Available,12,Patch Panel,KPLC,NAIROBI,CTY CENTRE,10/30/2025,10/30/2025
-1.257007369,36.79943925,WESTLANDS ( 66 / 11 KV),66,Available,12,Patch Panel,KPLC,NAIROBI,WESTLANDS,10/30/2025,10/30/2025
-1.067261106,37.11878819,THIKA INDUSTRIAL 66/11 ( 66 /,66,Available,12,Patch Panel,KPLC,MT KENYA,MAJENGO,10/30/2025,10/30/2025
-1.263286957,36.87844594,HURUMA ( 66 / 11 KV),66,Available,12,Patch Panel,KPLC,NAIROBI,EASTLEIGH AIR BASE,10/30/2025,10/30/2025
-1.271264589,36.82082972,PARKLANDS ( 66 / 11 KV),66,Available,12,Patch Panel,KPLC,NAIROBI,PARKLANDS,10/30/2025,10/30/2025
-1.30760898,36.90392192,N.S.S.F  ( 66 / 11 KV),66,Available,12,Patch Panel,KPLC,NAIROBI,NSSF ESTATE EMBAKASI,10/30/2025,10/30/2025
-0.483917019,37.12789739,KARATINA ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,MT KENYA,KARATINA TOWN,10/30/2025,10/30/2025
-1.328103625,36.86566023,EAST AFRICA DATA CENTRE  ( 66,66,Available,12,Patch Panel,PRIVATE,NAIROBI,EAST AFRICA DATA CENTRE,10/30/2025,10/30/2025
-0.312997486,36.06980361,MWARIKI 33/11KV  ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,NAKURU RACE COURSE,10/30/2025,10/30/2025
-1.142610536,37.56002769,MATUU 33/11 SUBSTATION ( 33 /,33,Available,12,Patch Panel,KPLC,MT KENYA,MATUU TOWNSHIP,10/30/2025,10/30/2025
-0.786425602,35.33939437,BOMET ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,CENTRAL RIFT,BOMET,10/30/2025,10/30/2025
2.90599991,37.62566469,MAIKONA POWER STATION ( 33 /,33,Available,12,Patch Panel,KPLC,MT KENYA,MAIKONA,10/30/2025,10/30/2025
-0.772372804,34.94343905,KEROKA ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,WEST KENYA,KEROKA TOWNSHIP,10/30/2025,10/30/2025
-0.56972884,37.48760984,EMBU EAST ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,MT KENYA,MUTHATHARI STN,10/30/2025,10/30/2025
-1.08807359,36.86296126,NYAGA ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,NAIROBI,NYAGA,10/30/2025,10/30/2025
0.07983699,34.28621834,SIAYA ( 33 / 11 KV),33,Available,12,Patch Panel,KPLC,WEST KENYA,SIAYA TOWN,10/30/2025,10/30/2025
