CUSTOMER REF.	CUSTOMER ID	NAME OF THE CUSTOMERS	ROUTE NAME	LINKS NAME	CORE/CORES LEASED	BANDWIDTH	DISTANCE (KM)	PRICE/ CORE/ PER KM/ PER MONTH (USD)	MONTHLY LINK VALUE (USD)	MONTHLY LINK (KES)	LINK CLASS	CONTRACT DURATION (YRS)	TOTAL CONTRACT VALUE (USD)	TOTAL CONTRACT VALUE (KES)	
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	EADC<>EMBAKASI SS	1		3.52	20	70.4		METRO	6	" 5,068.80 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	EMBAKASI SS<>DANDORA SS	1		14.5	19	275.5		PREMIUM	6	" 19,836.00 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	DANDORA SS<>NCC JUJA RD	1		1.79	19	34.01		PREMIUM	6	" 2,448.72 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	EADC<>EMBAKASI SS	1		3.52	20	 70.40 		METRO	6	" 5,068.80 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	EMBAKASI SS<>DANDORA SS	1		14.5	19	 275.50 		PREMIUM	6	" 19,836.00 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	DANDORA SS<>NCC JUJA RD	1		1.79	19	 34.01 		PREMIUM	6	" 2,448.72 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	NCC JUJA RD<>KOMAROCK SS	1		1.05	20	 21.00 		METRO	6	" 1,512.00 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUAI KPLC OFFICE	KOMAROCK SS<>RUAI KPLC OFFICE	1		11.94	20	 238.80 		METRO	6	" 17,193.60 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUIRU SS	EADC<>NEW INDUSTRIAL	1		4.54	20	 90.80 		METRO	10	" 10,896.00 "		
KP1.4D.1.3.32		ICON FIBER SOLUTION	EADC<>RUIRU SS	NEW INDUSTRIAL<>NAIROBI SOUTH	1		6.08	20	 121.60 		METRO	10	" 14,592.00 "		
